Orig GRP,ExamID,Mailing Round,CompID,Set Number,Number of knowns with sufficient reproducible detail for comparison,Examiner's Analysis,Score,Pair,AnalType,Gun_K1,Lot #_1,Gun_K2,Lot #_2,Gun_Q,Lot #_3,Bullet/Case,M_NM,Ber_NonBer,Gun_1,Gun_2,ExamID_2,ExamID_3,Round
Org-Grp-71,NB,A,Group 1,16,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,F-M,New,F,π 165_2016.08_91,F,π 165_2016.08_91,M,π 78_2016-04_35,Bullet,NM,Beretta,F,M,NB,A,1
Org-Grp-71,NB,A,Group 1,17,2,Inc-B,Match(gt) marked Inconclusive,1-1,New,1,,1,,1,,Bullet,M,Non_Ber,1,1,NB,A,1
Org-Grp-71,NB,A,Group 1,18,2,ID---provide basis,Correct-Match,D-D,New,D,π 78_2016-04_35,D,π 78_2016-04_35,D,π 78_2016-04_35,Bullet,M,Beretta,D,D,NB,A,1
Org-Grp-71,NB,A,Group 1,19,2,Elim-Using Difference in Individual Characteristics,Incorrect-actually Match(gt),2-2,New,2,,2,,2,,Bullet,M,Non_Ber,2,2,NB,A,1
Org-Grp-71,NB,A,Group 1,20,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,G-N,New,G,π 78_2016-04_188,G,π 78_2016-04_188,N,π 78_2016-04_35,Bullet,NM,Beretta,G,N,NB,A,1
Org-Grp-71,NB,A,Group 1,21,2,ID---provide basis,Correct-Match,C-C,New,C,π 02_2016-01_94,C,π 02_2016-01_94,C,π 02_2016-01_94,Bullet,M,Beretta,C,C,NB,A,1
Org-Grp-71,NB,A,Group 1,22,2,Inc-C,Match(gt) marked Inconclusive,E-E,New,E,π 78_2016-04_35,E,π 78_2016-04_35,E,π 78_2016-04_35,Bullet,M,Beretta,E,E,NB,A,1
Org-Grp-71,NB,A,Group 1,23,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,K-R,New,K,π 75_2016-04_96,K,π 75_2016-04_96,R,π 78_2016-04_35,Bullet,NM,Beretta,K,R,NB,A,1
Org-Grp-71,NB,A,Group 1,24,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,4-5,New,4,,4,,5,,Bullet,NM,Non_Ber,4,5,NB,A,1
Org-Grp-71,NB,A,Group 1,25,2,Inc-C,Non-Matched(gt) marked Inconclusive,I-P,New,I,π 78_2016-04_35,I,π 78_2016-04_35,P,π 154_2016-08_96,Bullet,NM,Beretta,I,P,NB,A,1
Org-Grp-71,NB,A,Group 1,26,2,ID---provide basis,Correct-Match,11-11,New,11,,11,,11,,Bullet,M,Non_Ber,11,11,NB,A,1
Org-Grp-71,NB,A,Group 1,27,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,L-S,New,L,π 75_2016-04_96,L,π 75_2016-04_96,S,π 154_2016-08_35,Bullet,NM,Beretta,L,S,NB,A,1
Org-Grp-71,NB,A,Group 1,28,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,J-Q,New,J,π 154_2016-08_125,J,π 154_2016-08_125,Q,π 116_2016-06_179,Bullet,NM,Beretta,J,Q,NB,A,1
Org-Grp-71,NB,A,Group 1,29,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,H-O,New,H,π 154_2016-08_188,H,π 154_2016-08_188,O,π 116_2016-06_125,Bullet,NM,Beretta,H,O,NB,A,1
Org-Grp-71,NB,A,Group 1,30,2,Inc-B,Match(gt) marked Inconclusive,3-3,New,3,,3,,3,,Bullet,M,Non_Ber,3,3,NB,A,1
Org-Grp-200,KI,D,Group 10,16,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,M-V,New,M,π 78_2016-04_35,M,π 78_2016-04_35,V,π 78_2016-04_35,Bullet,NM,Beretta,M,V,KI,D,1
Org-Grp-200,KI,D,Group 10,17,2,ID---provide basis,Correct-Match,G-G,New,G,π 78_2016-04_188,G,π 78_2016-04_188,G,π 78_2016-04_188,Bullet,M,Beretta,G,G,KI,D,1
Org-Grp-200,KI,D,Group 10,18,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,K-T,New,K,π 75_2016-04_96,K,π 75_2016-04_96,T,π 78_2016-04_35,Bullet,NM,Beretta,K,T,KI,D,1
Org-Grp-200,KI,D,Group 10,19,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,O-X,New,O,π 116_2016-06_125,O,π 116_2016-06_125,X,π 154_2016-08_35,Bullet,NM,Beretta,O,X,KI,D,1
Org-Grp-200,KI,D,Group 10,20,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,I-R,New,I,π 78_2016-04_35,I,π 78_2016-04_35,R,π 78_2016-04_35,Bullet,NM,Beretta,I,R,KI,D,1
Org-Grp-200,KI,D,Group 10,21,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,1-4,New,1,,1,,4,,Bullet,NM,Non_Ber,1,4,KI,D,1
Org-Grp-200,KI,D,Group 10,22,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,2-5,New,2,,2,,5,,Bullet,NM,Non_Ber,2,5,KI,D,1
Org-Grp-200,KI,D,Group 10,23,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,H-Q,New,H,π 02_2016-01_94,H,π 02_2016-01_94,Q,π 02_2016-01_90,Bullet,NM,Beretta,H,Q,KI,D,1
Org-Grp-200,KI,D,Group 10,24,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,P-Y,New,P,π 154_2016-08_96,P,π 154_2016-08_96,Y,π 111_2014-06_21,Bullet,NM,Beretta,P,Y,KI,D,1
Org-Grp-200,KI,D,Group 10,25,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,L-U,New,L,π 75_2016-04_96,L,π 75_2016-04_96,U,π 116_2016-06_179,Bullet,NM,Beretta,L,U,KI,D,1
Org-Grp-200,KI,D,Group 10,26,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,N-W,New,N,π 78_2016-04_35,N,π 78_2016-04_35,W,π 78_2016-04_35,Bullet,NM,Beretta,N,W,KI,D,1
Org-Grp-200,KI,D,Group 10,27,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,J-S,New,J,π 154_2016-08_125,J,π 154_2016-08_125,S,π 154_2016-08_125,Bullet,NM,Beretta,J,S,KI,D,1
Org-Grp-200,KI,D,Group 10,28,0,ID---provide basis,Correct-Match,9-9,New,9,,9,,9,,Bullet,M,Non_Ber,9,9,KI,D,1
Org-Grp-200,KI,D,Group 10,29,1,X-Did not provide answer,X-Did not provide answer,11-3,New,11,,11,,3,,Bullet,NM,Non_Ber,11,3,KI,D,1
Org-Grp-200,KI,D,Group 10,30,2,ID---provide basis,Correct-Match,10-10,New,10,,10,,10,,Bullet,M,Non_Ber,10,10,KI,D,1
Org-Grp-104,SH,C,Group 102,16,2,Inc-A,Non-Matched(gt) marked Inconclusive,W-E,New,W,π 78_2016-04_35,W,π 78_2016-04_35,E,π 78_2016-04_35,Bullet,NM,Beretta,W,E,SH,C,1
Org-Grp-104,SH,C,Group 102,17,2,Inc-A,Non-Matched(gt) marked Inconclusive,6-9,New,6,,6,,9,,Bullet,NM,Non_Ber,6,9,SH,C,1
Org-Grp-104,SH,C,Group 102,18,2,Inc-C,Match(gt) marked Inconclusive,2-2,New,2,,2,,2,,Bullet,M,Non_Ber,2,2,SH,C,1
Org-Grp-104,SH,C,Group 102,19,2,ID---provide basis,Correct-Match,V-V,New,V,π 78_2016-04_35,V,π 78_2016-04_35,V,π 78_2016-04_35,Bullet,M,Beretta,V,V,SH,C,1
Org-Grp-104,SH,C,Group 102,20,2,Inc-B,Non-Matched(gt) marked Inconclusive,C-L,New,C,π 02_2016-01_94,C,π 02_2016-01_94,L,π 75_2016-04_96,Bullet,NM,Beretta,C,L,SH,C,1
Org-Grp-104,SH,C,Group 102,21,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,X-F,New,X,π 154_2016-08_35,X,π 154_2016-08_35,F,π 165_2016.08_91,Bullet,NM,Beretta,X,F,SH,C,1
Org-Grp-104,SH,C,Group 102,22,2,Inc-B,Non-Matched(gt) marked Inconclusive,5-8,New,5,,5,,8,,Bullet,NM,Non_Ber,5,8,SH,C,1
Org-Grp-104,SH,C,Group 102,23,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,Z-H,New,Z,π 116_2016-06_35,Z,π 116_2016-06_35,H,π 02_2016-01_94,Bullet,NM,Beretta,Z,H,SH,C,1
Org-Grp-104,SH,C,Group 102,24,2,Inc-B,Match(gt) marked Inconclusive,3-3,New,3,,3,,3,,Bullet,M,Non_Ber,3,3,SH,C,1
