Orig GRP,ExamID,Mailing Round,CompID,Set Number,Number of knowns with sufficient reproducible detail for compari,Examiner's Analysis,Score,Pair,AnalType,Gun_K1,Lot #_1,Gun_K2,Lot #_2,Gun_Q,Lot #_3,Bullet/Case,M_NM,Ber_NonBer,Gun_1,Gun_2,ExamID_2,ExamID_3,Round
Org-Grp-71,NB,A,Group 1,1,2,Inc-B,Non-Matched(gt) marked Inconclusive,L-S,New,L,π 02_2016-01_81,L,π 02_2016-01_81,S,π 78_2016-04_188,Case,NM,Beretta,L,S,NB,A,1
Org-Grp-71,NB,A,Group 1,2,2,ID---provide basis,Correct-Match,3-3,New,3,π 02_2016-01_94,3,π 02_2016-01_94,3,π 02_2016-01_94,Case,M,Non_Ber,3,3,NB,A,1
Org-Grp-71,NB,A,Group 1,3,2,Inc-C,Non-Matched(gt) marked Inconclusive,4-5,New,4,π 02_2016-01_81,4,π 02_2016-01_81,5,π 02_2016-01_94,Case,NM,Non_Ber,4,5,NB,A,1
Org-Grp-71,NB,A,Group 1,4,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,F-M,New,F,π 154_2016-08_96,F,π 154_2016-08_96,M,π 75_2016-04_96,Case,NM,Beretta,F,M,NB,A,1
Org-Grp-71,NB,A,Group 1,5,2,ID---provide basis,Correct-Match,C-C,New,C,π 78_2016-04_35,C,π 78_2016-04_35,C,π 78_2016-04_35,Case,M,Beretta,C,C,NB,A,1
Org-Grp-71,NB,A,Group 1,6,1,Inc-B,Match(gt) marked Inconclusive,E-E,New,E,π 154_2016-08_188,E,π 154_2016-08_188,E,π 165_2016-08_96,Case,M,Beretta,E,E,NB,A,1
Org-Grp-71,NB,A,Group 1,7,1,Inc-A,Match(gt) marked Inconclusive,D-D,New,D,π 78_2016-04_35,D,π 78_2016-04_35,D,π 78_2016-04_35,Case,M,Beretta,D,D,NB,A,1
Org-Grp-71,NB,A,Group 1,8,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,I-P,New,I,π 02_2016-01_94,I,π 02_2016-01_94,P,π 116_2016-06_119,Case,NM,Beretta,I,P,NB,A,1
Org-Grp-71,NB,A,Group 1,9,2,ID---provide basis,Correct-Match,11-11,New,11,π 02_2016-01_90,11,π 02_2016-01_90,11,π 02_2016-01_94,Case,M,Non_Ber,11,11,NB,A,1
Org-Grp-71,NB,A,Group 1,10,2,Elim-Using Difference in Class Characteristics,Correct-NonMatch,K-R,New,K,π 78_2016-04_35,K,π 78_2016-04_35,R,π 116_2016-06_179,Case,NM,Beretta,K,R,NB,A,1
Org-Grp-71,NB,A,Group 1,11,2,Inc-C,Non-Matched(gt) marked Inconclusive,J-Q,New,J,π 78_2016-04_35,J,π 78_2016-04_35,Q,π 154_2016-08_35,Case,NM,Beretta,J,Q,NB,A,1
Org-Grp-71,NB,A,Group 1,12,2,Elim-Using Difference in Class Characteristics,Correct-NonMatch,H-O,New,H,π 154_2016-08_35,H,π 154_2016-08_35,O,π 111_2014-06_21,Case,NM,Beretta,H,O,NB,A,1
Org-Grp-71,NB,A,Group 1,13,2,Elim-Using Difference in Class Characteristics,Correct-NonMatch,G-N,New,G,π 154_2016-08_35,G,π 154_2016-08_35,N,π 02_2016-01_90,Case,NM,Beretta,G,N,NB,A,1
Org-Grp-71,NB,A,Group 1,14,2,Inc-C,Match(gt) marked Inconclusive,1-1,New,1,π 02_2016-01_90,1,π 02_2016-01_90,1,π 02_2016-01_90,Case,M,Non_Ber,1,1,NB,A,1
Org-Grp-71,NB,A,Group 1,15,2,Elim-Using Difference in Class Characteristics,Incorrect-actually Match(gt),2-2,New,2,π 02_2016-01_90,2,π 02_2016-01_90,2,π 02_2016-01_90,Case,M,Non_Ber,2,2,NB,A,1
Org-Grp-200,KI,D,Group 10,1,1,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,J-S,New,J,π 78_2016-04_35,J,π 78_2016-04_35,S,π 78_2016-04_188,Case,NM,Beretta,J,S,KI,D,1
Org-Grp-200,KI,D,Group 10,2,2,ID---provide basis,Correct-Match,10-10,New,10,π 02_2016-01_81,10,π 02_2016-01_81,10,π 02_2016-01_81,Case,M,Non_Ber,10,10,KI,D,1
Org-Grp-200,KI,D,Group 10,3,1,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,P-Y,New,P,π 116_2016-06_119,P,π 116_2016-06_119,Y,π 154_2016-08_125,Case,NM,Beretta,P,Y,KI,D,1
Org-Grp-200,KI,D,Group 10,4,1,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,N-W,New,N,π 02_2016-01_90,N,π 02_2016-01_90,W,π 78_2016-04_35,Case,NM,Beretta,N,W,KI,D,1
Org-Grp-200,KI,D,Group 10,5,1,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,I-R,New,I,π 02_2016-01_94,I,π 02_2016-01_94,R,π 116_2016-06_179,Case,NM,Beretta,I,R,KI,D,1
Org-Grp-200,KI,D,Group 10,6,0,Inc-B,Non-Matched(gt) marked Inconclusive,L-U,New,L,π 02_2016-01_81,L,π 02_2016-01_81,U,π 78_2016-04_35,Case,NM,Beretta,L,U,KI,D,1
Org-Grp-200,KI,D,Group 10,7,1,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,K-T,New,K,π 78_2016-04_35,K,π 78_2016-04_35,T,π 78_2016-04_35,Case,NM,Beretta,K,T,KI,D,1
Org-Grp-200,KI,D,Group 10,8,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,11-3,New,11,π 02_2016-01_90,11,π 02_2016-01_90,3,π 02_2016-01_94,Case,NM,Non_Ber,11,3,KI,D,1
Org-Grp-200,KI,D,Group 10,9,2,Inc-B,Non-Matched(gt) marked Inconclusive,2-5,New,2,π 02_2016-01_90,2,π 02_2016-01_90,5,π 02_2016-01_90,Case,NM,Non_Ber,2,5,KI,D,1
Org-Grp-200,KI,D,Group 10,10,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,M-V,New,M,π 75_2016-04_96,M,π 75_2016-04_96,V,π 75_2016-04_96,Case,NM,Beretta,M,V,KI,D,1
Org-Grp-200,KI,D,Group 10,11,1,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,H-Q,New,H,π 154_2016-08_35,H,π 154_2016-08_35,Q,π 154_2016-08_35,Case,NM,Beretta,H,Q,KI,D,1
Org-Grp-200,KI,D,Group 10,12,2,ID---provide basis,Correct-Match,G-G,New,G,π 154_2016-08_35,G,π 154_2016-08_35,G,π 154_2016-08_35,Case,M,Beretta,G,G,KI,D,1
Org-Grp-200,KI,D,Group 10,13,2,Elim-Using Difference in Individual Characteristics,Correct-NonMatch,O-X,New,O,π 111_2014-06_21,O,π 111_2014-06_21,X,π 78_2016-04_188,Case,NM,Beretta,O,X,KI,D,1
