ARB_ID,SET,BRAND,match,afte3,N_8good
1,1,1,1,2,8
1,2,2,0,1,8
1,3,1,1,1,8
1,4,1,0,3,8
1,5,2,1,1,8
1,6,1,1,1,8
1,7,2,0,3,8
1,8,2,0,3,8
9,1,2,1,1,8
9,2,2,1,1,8
9,3,1,0,2,8
9,4,2,1,1,8
9,5,2,0,3,8
9,6,1,0,3,8
9,7,1,1,1,8
9,8,1,0,2,8
17,1,1,0,3,8
17,2,2,0,3,8
17,3,2,0,3,8
17,4,2,1,1,8
17,5,1,1,1,8
17,6,2,0,3,8
17,7,1,1,1,8
17,8,1,1,1,8
25,1,1,0,2,8
25,2,2,0,3,8
25,3,1,0,3,8
25,4,1,0,3,8
25,5,2,1,1,8
25,6,2,0,2,8
25,7,2,1,1,8
25,8,1,1,1,8
33,1,2,0,3,8
33,2,2,1,1,8
33,3,2,1,1,8
33,4,1,0,2,8
33,5,1,1,1,8
33,6,2,1,1,8
33,7,1,0,3,8
33,8,1,0,3,8
41,1,2,1,1,8
41,2,1,1,1,8
41,3,2,1,1,8
41,4,2,0,3,8
41,5,1,0,3,8
41,6,1,0,3,8
41,7,1,1,1,8
41,8,2,1,1,8
49,1,1,1,1,8
49,2,1,1,1,8
49,3,2,1,1,8
49,4,1,0,3,8
49,5,2,1,1,8
49,6,1,1,1,8
49,7,2,0,3,8
49,8,2,0,3,8
57,1,2,0,3,8
57,2,1,0,3,8
57,3,1,1,1,8
57,4,2,0,3,8
57,5,2,1,1,8
57,6,2,1,1,8
57,7,1,0,3,8
57,8,1,0,3,8
65,1,1,0, , 
65,2,2,1, , 
65,3,2,1, , 
65,4,2,0, , 
65,5,1,0, , 
65,6,1,1, , 
65,7,2,1, , 
65,8,1,0, , 
73,1,1,1, , 
73,2,1,0, , 
73,3,2,0, , 
73,4,1,1, , 
73,5,2,1, , 
73,6,1,0, , 
73,7,2,0, , 
73,8,2,0, , 
81,1,1,1, , 
81,2,2,0, , 
81,3,2,1, , 
81,4,1,0, , 
81,5,2,0, , 
81,6,2,1, , 
81,7,1,1, , 
81,8,1,0, , 
89,1,2,0,2,8
89,2,1,1,1,8
89,3,2,0,3,8
89,4,1,1,1,8
89,5,2,1,1,8
89,6,2,0,3,8
89,7,1,1,1,8
89,8,1,0,3,8
97,1,1,0,2,8
97,2,2,0,2,8
97,3,2,1,1,8
97,4,1,0,2,8
97,5,1,1,1,8
97,6,2,1,1,8
97,7,1,1,1,8
97,8,2,1,1,8
105,1,1,0,2,8
105,2,2,1,1,8
105,3,2,0,3,8
105,4,1,1,2,8
105,5,1,0,3,8
105,6,2,1,1,8
105,7,2,0,2,8
105,8,1,0,2,8
113,1,2,0,3,8
113,2,1,1,1,8
113,3,1,1,1,8
113,4,1,0,3,8
113,5,2,0,3,8
113,6,2,0,3,8
113,7,1,1,1,8
113,8,2,1,1,8
121,1,2,0,2,8
121,2,1,0,2,8
121,3,2,1,1,8
121,4,1,1,2,8
121,5,1,0,2,8
121,6,1,1,2,8
121,7,2,0,3,8
121,8,2,1,1,8
